2.49, build 2022-03-30
Zn_draft_FAV_2024-05-07.dat
11_Zn_Cali_WQC.prn
/S ZN_CALI_WQC.SCR, /W /Q /L
            Site Label          Sample Label           Mode             pH        Dis. Zn        Free Zn        TOrg Zn          BL-Zn        BL-ZnOH            DOC            HA%           T.Ca           T.Mg           T.Na            T.K          T.SO4           T.Cl          T.CO3            T.S
                                                                                    mol/L          mol/L          mol/L        nmol/gw        nmol/gw           mg/L                         mol/L          mol/L          mol/L          mol/L          mol/L          mol/L          mol/L          mol/L
         USGS-09429490                    23       Toxicity         8.1500      5.813E-06      2.176E-06      2.112E-06      9.019E-01      2.006E+00      2.800E+00      1.000E+01      1.876E-03      1.127E-03      4.393E-03      1.092E-04      2.592E-03      2.536E-03      8.692E-04      1.000E-20
         USGS-09429490                    24       Toxicity         8.2500      5.623E-06      1.947E-06      1.955E-06      7.661E-01      2.142E+00      2.600E+00      1.000E+01      1.966E-03      1.197E-03      4.959E-03      1.128E-04      2.759E-03      2.764E-03      1.093E-03      1.000E-20
         USGS-10254005                    25       Toxicity         8.0000      3.734E-05      7.097E-06      2.619E-05      1.124E+00      1.784E+00      3.000E+01      1.000E+01      1.382E-03      3.614E-03      3.526E-02      4.493E-04      7.033E-03      3.240E-02      6.176E-04      1.000E-20
         USGS-10254670                    26       Toxicity         7.8000      2.251E-05      6.088E-06      1.365E-05      1.448E+00      1.459E+00      1.700E+01      1.000E+01      2.738E-03      2.258E-03      1.281E-02      1.921E-04      5.171E-03      9.775E-03      3.934E-04      1.000E-20
         USGS-10254670                    27       Toxicity         7.9000      1.464E-05      5.177E-06      6.689E-06      1.293E+00      1.616E+00      8.400E+00      1.000E+01      2.645E-03      2.351E-03      1.230E-02      1.808E-04      5.764E-03      9.802E-03      4.926E-04      1.000E-20
         USGS-10254670                    28       Toxicity         8.0000      2.154E-05      4.592E-06      1.442E-05      1.119E+00      1.789E+00      1.800E+01      1.000E+01      2.480E-03      2.516E-03      1.280E-02      1.369E-04      4.775E-03      1.078E-02      6.176E-04      1.000E-20
         USGS-10254670                    29       Toxicity         7.9000      2.291E-05      5.161E-06      1.516E-05      1.279E+00      1.628E+00      1.900E+01      1.000E+01      2.620E-03      2.376E-03      1.165E-02      1.611E-04      5.028E-03      9.774E-03      4.926E-04      1.000E-20
         USGS-10254670                    30       Toxicity         7.4000      2.105E-05      8.588E-06      9.623E-06      2.079E+00      8.294E-01      1.300E+01      1.000E+01      2.675E-03      2.321E-03      1.202E-02      1.876E-04      4.640E-03      1.018E-02      1.636E-04      1.000E-20
         USGS-10254670                    31       Toxicity         7.8500      1.204E-05      5.476E-06      3.949E-06      1.380E+00      1.528E+00      5.000E+00      1.000E+01      2.261E-03      2.735E-03      1.367E-02      1.854E-04      5.221E-03      1.057E-02      4.401E-04      1.000E-20
         USGS-10254970                    32       Toxicity         8.1000      1.510E-05      4.922E-06      7.495E-06      9.770E-01      1.929E+00      9.000E+00      1.000E+01      2.646E-03      2.350E-03      1.952E-02      8.034E-04      3.440E-03      2.071E-02      7.754E-04      1.000E-20
