"2.45d, build 2024-03-06"
"SD-simple.dat"
"simple.BLM"
"/S OPTIM.SCR, /W /O2 /A1 /Q /M /G01"
"Site Label","Sample Label","H","Cu","DOC","Ca","Mg","Na","K","SO4","Cl","CO3","BL1","BL2","BL1-Cu","BL1-CuOH","BL1-Ca","BL1-H","BL1-Na","BL2-Cu","BL2-CuOH","BL2-Ca","BL2-H","BL2-Na","OH","HCO3","H2CO3","CuOH","Cu(OH)2","CuHCO3","CuCO3","Cu(CO3)2","CuSO4","CuCl","Charge","Ionic S.","Act_z1","Act_z2","Act_z3","Act_z4","Temp (K)","Water (L)","BL (kg wet)","# Iter.","T.H","T.Cu","T.DOC","T.Ca","T.Mg","T.Na","T.K","T.SO4","T.Cl","T.CO3","T.BL1","T.BL2",
"Optim_Cu","101",  1.00000000000000E-08,  3.09497399766237E-07,  1.00000000000000,  8.58856662158275E-03,  0.04412570000000,  0.39181695081230,  8.52943000000000E-03,  0.02358702768851,  0.45599953139968,  7.06525485305770E-06,  6.29158606887480E-19,  3.76522737426467E-16,  1.21740147490360E-09,  3.40545170277517E-10,  3.37831697720476E-09,  1.12724819335394E-21,  4.91862316838023E-08,  3.61201661528560E-14,  1.01039432650841E-14,  1.00233512812760E-13,  1.51025579009844E-26,  1.47527990889937E-12,  2.94000388449550E-06,  1.67143247278898E-03,  2.04086755671266E-05,  4.67248666894606E-07,  1.99763776283624E-07,  2.94296133614377E-08,  1.17422542495758E-05,  9.45965451868012E-07,  1.57231149122584E-06,  4.68600068911642E-07, -9.99087452888489E-01,  1.08162986003909,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00, 293.00000000000000,  1.00000000000000,  1.00000000000000, 30.00000000000000,  1.70848213287737E-03,  1.57366317313442E-05,  1.00000000000000,  8.58857000000000E-03,  0.04412570000000,  0.39181700000000,  8.52943000000000E-03,  0.02358860000000,  0.45600000000000,  1.71257000000000E-03,  1.99714000000000E-03,  1.78000000000000E-11,
"Optim_Cu","102",  1.00000000000000E-08,  3.21906691043447E-11,  1.00000000000000,  8.58856652146154E-03,  0.04412570000000,  0.39181694935459,  8.52943000000000E-03,  0.02358859983645,  0.45599999995126,  7.12207167693015E-06,  6.47804080521258E-19,  3.87565748135000E-16,  1.30373810775770E-13,  3.64695963777522E-14,  3.47843528429483E-09,  1.16065565042484E-21,  5.06438934839002E-08,  3.86702446448500E-18,  1.08172725996879E-18,  1.03173253743284E-13,  1.55455107467874E-26,  1.51854829108584E-12,  2.93999975627689E-06,  1.68487367008423E-03,  2.05728253743532E-05,  4.85982309281509E-11,  2.07773008651533E-11,  3.08557469213147E-12,  1.23112737147065E-09,  9.99779140469772E-11,  1.63546228640218E-10,  4.87388736746873E-11, -9.99104321002960E-01,  1.08163707866158,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00, 293.00000000000000,  1.00000000000000,  1.00000000000000,  7.00000000000000,  1.72308923397293E-03,  1.64820901073151E-09,  1.00000000000000,  8.58857000000000E-03,  0.04412570000000,  0.39181700000000,  8.52943000000000E-03,  0.02358860000000,  0.45600000000000,  1.71257000000000E-03,  1.99714000000000E-03,  1.78000000000000E-11,
"Optim_Cu","103",  1.00000000000000E-08,  3.37155711358882E-11,  1.00000000000000,  8.58856652146205E-03,  0.04412570000000,  0.39181694935460,  8.52943000000000E-03,  0.02358859982871,  0.45599999994895,  7.12207139431893E-06,  6.47803985921772E-19,  3.87565692124221E-16,  1.36549719899302E-13,  3.81971896090028E-14,  3.47843477633561E-09,  1.16065548092667E-21,  5.06438860883221E-08,  4.05020843622905E-18,  1.13296952586835E-18,  1.03173238832751E-13,  1.55455085000727E-26,  1.51854807162615E-12,  2.93999975630960E-06,  1.68487360322669E-03,  2.05728245577732E-05,  5.09003744732187E-11,  2.17615409940042E-11,  3.23174111610868E-12,  1.28944697261569E-09,  1.04713952813548E-10,  1.71293566034337E-10,  5.10476795973469E-11, -9.99104321002960E-01,  1.08163707862584,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00, 293.00000000000000,  1.00000000000000,  1.00000000000000,  6.00000000000000,  1.72308916135601E-03,  1.72628615159472E-09,  1.00000000000000,  8.58857000000000E-03,  0.04412570000000,  0.39181700000000,  8.52943000000000E-03,  0.02358860000000,  0.45600000000000,  1.71257000000000E-03,  1.99714000000000E-03,  1.78000000000000E-11,
"Optim_Cu","104",  1.00000000000000E-08,  3.53127093168595E-11,  1.00000000000000,  8.58856652146259E-03,  0.04412570000000,  0.39181694935460,  8.52943000000000E-03,  0.02358859982059,  0.45599999994654,  7.12207109998849E-06,  6.47803886846905E-19,  3.87565633460174E-16,  1.43018186143209E-13,  4.00066201355776E-14,  3.47843424434549E-09,  1.16065530342011E-21,  5.06438783428686E-08,  4.24206996096662E-18,  1.18663917376968E-18,  1.03173223215896E-13,  1.55455061470683E-26,  1.51854784177050E-12,  2.93999975629136E-06,  1.68487353359672E-03,  2.05728237076975E-05,  5.33115728823488E-11,  2.27924055714852E-11,  3.38483157957740E-12,  1.35052922752531E-09,  1.09674341761731E-10,  1.79407902620381E-10,  5.34658559880469E-11, -9.99104321002960E-01,  1.08163707858861,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00, 293.00000000000000,  1.00000000000000,  1.00000000000000,  6.00000000000000,  1.72308908570427E-03,  1.80806187673073E-09,  1.00000000000000,  8.58857000000000E-03,  0.04412570000000,  0.39181700000000,  8.52943000000000E-03,  0.02358860000000,  0.45600000000000,  1.71257000000000E-03,  1.99714000000000E-03,  1.78000000000000E-11,
"Optim_Cu","105",  1.00000000000000E-08,  3.69855054003541E-11,  1.00000000000000,  8.58856652146314E-03,  0.04412570000000,  0.39181694935461,  8.52943000000000E-03,  0.02358859981209,  0.45599999994400,  7.12207078399595E-06,  6.47803783060531E-19,  3.87565572017181E-16,  1.49793067448447E-13,  4.19017644570213E-14,  3.47843368705656E-09,  1.16065511737351E-21,  5.06438702290800E-08,  4.44302008007149E-18,  1.24285118487015E-18,  1.03173206859262E-13,  1.55455036812788E-26,  1.51854760102647E-12,  2.93999975677237E-06,  1.68487345884214E-03,  2.05728227915552E-05,  5.58369919841493E-11,  2.38721031548456E-11,  3.54517406149728E-12,  1.41450499800480E-09,  1.14869707801029E-10,  1.87906622777133E-10,  5.59985836200657E-11, -9.99104321002960E-01,  1.08163707854869,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00, 293.00000000000000,  1.00000000000000,  1.00000000000000,  6.00000000000000,  1.72308900459055E-03,  1.89371139139771E-09,  1.00000000000000,  8.58857000000000E-03,  0.04412570000000,  0.39181700000000,  8.52943000000000E-03,  0.02358860000000,  0.45600000000000,  1.71257000000000E-03,  1.99714000000000E-03,  1.78000000000000E-11,
"Optim_Cu","106",  1.00000000000000E-08,  3.87375438704846E-11,  1.00000000000000,  8.58856652146372E-03,  0.04412570000000,  0.39181694935462,  8.52943000000000E-03,  0.02358859980319,  0.45599999994135,  7.12207046401994E-06,  6.47803674381128E-19,  3.87565507663565E-16,  1.56888880805775E-13,  4.38866834138044E-14,  3.47843310349414E-09,  1.16065492278871E-21,  5.06438617327652E-08,  4.65348938260424E-18,  1.30172600799761E-18,  1.03173189727797E-13,  1.55455011018032E-26,  1.51854734887813E-12,  2.93999975609561E-06,  1.68487338314518E-03,  2.05728218720077E-05,  5.84820432401953E-11,  2.50029473172981E-11,  3.71311215242992E-12,  1.48151137480291E-09,  1.20311183943097E-10,  1.96807937645954E-10,  5.86512896315389E-11, -9.99104321002960E-01,  1.08163707850820,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00, 293.00000000000000,  1.00000000000000,  1.00000000000000, 48.00000000000000,  1.72308892231439E-03,  1.98341820048426E-09,  1.00000000000000,  8.58857000000000E-03,  0.04412570000000,  0.39181700000000,  8.52943000000000E-03,  0.02358860000000,  0.45600000000000,  1.71257000000000E-03,  1.99714000000000E-03,  1.78000000000000E-11,
"Optim_Cu","107",  1.00000000000000E-08,  4.05725788750320E-11,  1.00000000000000,  8.58856652146434E-03,  0.04412570000000,  0.39181694935463,  8.52943000000000E-03,  0.02358859979387,  0.45599999993856,  7.12207015759124E-06,  6.47803561017080E-19,  3.87565440261356E-16,  1.64320830418751E-13,  4.59656301069169E-14,  3.47843249477716E-09,  1.16065471965679E-21,  5.06438528702152E-08,  4.87392883802422E-18,  1.36338979377778E-18,  1.03173171784771E-13,  1.55454983979873E-26,  1.51854708478488E-12,  2.93999975619774E-06,  1.68487331065312E-03,  2.05728209861427E-05,  6.12523943219376E-11,  2.61873611699868E-11,  3.88900570718204E-12,  1.55169193801301E-09,  1.26010430519244E-10,  2.06130920352461E-10,  6.14296580774665E-11, -9.99104321002960E-01,  1.08163707846923,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00, 293.00000000000000,  1.00000000000000,  1.00000000000000,  7.00000000000000,  1.72308884308513E-03,  2.07737450167031E-09,  1.00000000000000,  8.58857000000000E-03,  0.04412570000000,  0.39181700000000,  8.52943000000000E-03,  0.02358860000000,  0.45600000000000,  1.71257000000000E-03,  1.99714000000000E-03,  1.78000000000000E-11,
"Optim_Cu","108",  1.00000000000000E-08,  4.24945388178290E-11,  1.00000000000000,  8.58856652146497E-03,  0.04412570000000,  0.39181694935464,  8.52943000000000E-03,  0.02358859978410,  0.45599999993566,  7.12206976250807E-06,  6.47803441301815E-19,  3.87565369666575E-16,  1.72104825722135E-13,  4.81430548977906E-14,  3.47843185195683E-09,  1.16065450502759E-21,  5.06438435111412E-08,  5.10481034776646E-18,  1.42797454772967E-18,  1.03173152991855E-13,  1.55454955645354E-26,  1.51854680818260E-12,  2.93999975689747E-06,  1.68487321718801E-03,  2.05728198400086E-05,  6.41539759361916E-11,  2.74278802801017E-11,  4.07323121677980E-12,  1.62519690548870E-09,  1.31979644579753E-10,  2.15895529338340E-10,  6.43396368289357E-11, -9.99104321002960E-01,  1.08163707841952,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00, 293.00000000000000,  1.00000000000000,  1.00000000000000,  7.00000000000000,  1.72308874212648E-03,  2.17578159721250E-09,  1.00000000000000,  8.58857000000000E-03,  0.04412570000000,  0.39181700000000,  8.52943000000000E-03,  0.02358860000000,  0.45600000000000,  1.71257000000000E-03,  1.99714000000000E-03,  1.78000000000000E-11,
"Optim_Cu","109",  1.00000000000000E-08,  4.45075452422768E-11,  1.00000000000000,  8.58856652146565E-03,  0.04412570000000,  0.39181694935465,  8.52943000000000E-03,  0.02358859977388,  0.45599999993261,  7.12206939074641E-06,  6.47803316423219E-19,  3.87565295727507E-16,  1.80257559058368E-13,  5.04236271394820E-14,  3.47843118141159E-09,  1.16065428133501E-21,  5.06438337484094E-08,  5.34662901355712E-18,  1.49561876486310E-18,  1.03173133308663E-13,  1.55454925994553E-26,  1.51854651847684E-12,  2.93999975664660E-06,  1.68487312924008E-03,  2.05728187678929E-05,  6.71930103406689E-11,  2.87271648621831E-11,  4.26618380251653E-12,  1.70218392845797E-09,  1.38231630495731E-10,  2.26122704299919E-10,  6.73874661675997E-11, -9.99104321002960E-01,  1.08163707837250,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00, 293.00000000000000,  1.00000000000000,  1.00000000000000,  7.00000000000000,  1.72308864658764E-03,  2.27885032523610E-09,  1.00000000000000,  8.58857000000000E-03,  0.04412570000000,  0.39181700000000,  8.52943000000000E-03,  0.02358860000000,  0.45600000000000,  1.71257000000000E-03,  1.99714000000000E-03,  1.78000000000000E-11,
"Optim_Cu","110",  1.00000000000000E-08,  4.66159096997102E-11,  1.00000000000000,  8.58856652146635E-03,  0.04412570000000,  0.39181694935466,  8.52943000000000E-03,  0.02358859976317,  0.45599999992943,  7.12206901135971E-06,  6.47803185670223E-19,  3.87565218285879E-16,  1.88796491785244E-13,  5.28122313224720E-14,  3.47843047932332E-09,  1.16065404711747E-21,  5.06438235264300E-08,  5.59990276110362E-18,  1.56646732535970E-18,  1.03173112693060E-13,  1.55454894938861E-26,  1.51854621504745E-12,  2.93999975639536E-06,  1.68487303948830E-03,  2.05728176737540E-05,  7.03760067012047E-11,  3.00879977931866E-11,  4.46827672081597E-12,  1.78281789396634E-09,  1.44779777948742E-10,  2.36834350277759E-10,  7.05796740868344E-11, -9.99104321002960E-01,  1.08163707832445,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00,  0.00000000000000E+00, 293.00000000000000,  1.00000000000000,  1.00000000000000,  6.00000000000000,  1.72308854894287E-03,  2.38680151145772E-09,  1.00000000000000,  8.58857000000000E-03,  0.04412570000000,  0.39181700000000,  8.52943000000000E-03,  0.02358860000000,  0.45600000000000,  1.71257000000000E-03,  1.99714000000000E-03,  1.78000000000000E-11,
