"2.45d, build 2024-03-06"
"SD-simple.dat"
"simple.BLM"
"/S OPTIM.SCR, /W /O2 /A1 /Q /M /G01"
"Site Label","Sample Label","Mode","pH","Dis. Cu","Free Cu","TOrg Cu","Cu","DOC","HA%","T.Ca","T.Mg","T.Na","T.K","T.SO4","T.Cl","T.CO3","T.BL1",
" "," "," "," ","mol/L","mol/L","mol/L","nmol/gw","mg/L"," ","mol/L","mol/L","mol/L","mol/L","mol/L","mol/L","mol/L","mol/L",
"Optim_Cu","122","Speciation",  8.00000,  4.15932E-09,  8.12345E-11,  0.00000E+00,  4.56374E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","123","Speciation",  8.00000,  4.35635E-09,  8.50827E-11,  0.00000E+00,  4.77992E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","124","Speciation",  8.00000,  4.56272E-09,  8.91131E-11,  0.00000E+00,  5.00635E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","125","Speciation",  8.00000,  4.77886E-09,  9.33345E-11,  0.00000E+00,  5.24351E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","126","Speciation",  8.00000,  5.00523E-09,  9.77558E-11,  0.00000E+00,  5.49190E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","127","Speciation",  8.00000,  5.24234E-09,  1.02387E-10,  0.00000E+00,  5.75206E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","128","Speciation",  8.00000,  5.49067E-09,  1.07237E-10,  0.00000E+00,  6.02454E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","129","Speciation",  8.00000,  5.75077E-09,  1.12317E-10,  0.00000E+00,  6.30993E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","130","Speciation",  8.00000,  6.02319E-09,  1.17637E-10,  0.00000E+00,  6.60883E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","131","Speciation",  8.00000,  6.30851E-09,  1.23210E-10,  0.00000E+00,  6.92190E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","132","Speciation",  8.00000,  6.60735E-09,  1.29046E-10,  0.00000E+00,  7.24980E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","133","Speciation",  8.00000,  6.92035E-09,  1.35159E-10,  0.00000E+00,  7.59323E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","134","Speciation",  8.00000,  7.24817E-09,  1.41562E-10,  0.00000E+00,  7.95293E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","135","Speciation",  8.00000,  7.59152E-09,  1.48268E-10,  0.00000E+00,  8.32967E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","136","Speciation",  8.00000,  7.95114E-09,  1.55292E-10,  0.00000E+00,  8.72425E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","137","Speciation",  8.00000,  8.32779E-09,  1.62648E-10,  0.00000E+00,  9.13753E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","138","Speciation",  8.00000,  8.72229E-09,  1.70353E-10,  0.00000E+00,  9.57038E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","139","Speciation",  8.00000,  9.13547E-09,  1.78423E-10,  0.00000E+00,  1.00237E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","140","Speciation",  8.00000,  9.56823E-09,  1.86875E-10,  0.00000E+00,  1.04986E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","141","Speciation",  8.00000,  1.00215E-08,  1.95727E-10,  0.00000E+00,  1.09959E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","142","Speciation",  8.00000,  1.04962E-08,  2.04999E-10,  0.00000E+00,  1.15168E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","143","Speciation",  8.00000,  1.09934E-08,  2.14710E-10,  0.00000E+00,  1.20624E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","144","Speciation",  8.00000,  1.15142E-08,  2.24881E-10,  0.00000E+00,  1.26338E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","145","Speciation",  8.00000,  1.20596E-08,  2.35534E-10,  0.00000E+00,  1.32322E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","146","Speciation",  8.00000,  1.26309E-08,  2.46692E-10,  0.00000E+00,  1.38591E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","147","Speciation",  8.00000,  1.32292E-08,  2.58378E-10,  0.00000E+00,  1.45156E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","148","Speciation",  8.00000,  1.38559E-08,  2.70617E-10,  0.00000E+00,  1.52032E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","149","Speciation",  8.00000,  1.45123E-08,  2.83437E-10,  0.00000E+00,  1.59234E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","150","Speciation",  8.00000,  1.51997E-08,  2.96863E-10,  0.00000E+00,  1.66777E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","151","Speciation",  8.00000,  1.59198E-08,  3.10926E-10,  0.00000E+00,  1.74678E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","152","Speciation",  8.00000,  1.66739E-08,  3.25655E-10,  0.00000E+00,  1.82952E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","153","Speciation",  8.00000,  1.74638E-08,  3.41082E-10,  0.00000E+00,  1.91619E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","154","Speciation",  8.00000,  1.82910E-08,  3.57239E-10,  0.00000E+00,  2.00696E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","155","Speciation",  8.00000,  1.91575E-08,  3.74162E-10,  0.00000E+00,  2.10204E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","156","Speciation",  8.00000,  2.00650E-08,  3.91887E-10,  0.00000E+00,  2.20161E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","157","Speciation",  8.00000,  2.10155E-08,  4.10451E-10,  0.00000E+00,  2.30590E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","158","Speciation",  8.00000,  2.20110E-08,  4.29895E-10,  0.00000E+00,  2.41514E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","159","Speciation",  8.00000,  2.30537E-08,  4.50259E-10,  0.00000E+00,  2.52955E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","160","Speciation",  8.00000,  2.41458E-08,  4.71589E-10,  0.00000E+00,  2.64938E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","161","Speciation",  8.00000,  2.52896E-08,  4.93929E-10,  0.00000E+00,  2.77488E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","162","Speciation",  8.00000,  2.64876E-08,  5.17327E-10,  0.00000E+00,  2.90633E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","163","Speciation",  8.00000,  2.77423E-08,  5.41833E-10,  0.00000E+00,  3.04400E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","164","Speciation",  8.00000,  2.90565E-08,  5.67501E-10,  0.00000E+00,  3.18821E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","165","Speciation",  8.00000,  3.04329E-08,  5.94384E-10,  0.00000E+00,  3.33924E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","166","Speciation",  8.00000,  3.18746E-08,  6.22541E-10,  0.00000E+00,  3.49742E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","167","Speciation",  8.00000,  3.33845E-08,  6.52032E-10,  0.00000E+00,  3.66310E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","168","Speciation",  8.00000,  3.49660E-08,  6.82920E-10,  0.00000E+00,  3.83663E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","169","Speciation",  8.00000,  3.66223E-08,  7.15271E-10,  0.00000E+00,  4.01837E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","170","Speciation",  8.00000,  3.83572E-08,  7.49154E-10,  0.00000E+00,  4.20873E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","171","Speciation",  8.00000,  4.01742E-08,  7.84643E-10,  0.00000E+00,  4.40811E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","172","Speciation",  8.00000,  4.20773E-08,  8.21813E-10,  0.00000E+00,  4.61693E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","173","Speciation",  8.00000,  4.40705E-08,  8.60744E-10,  0.00000E+00,  4.83564E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","174","Speciation",  8.00000,  4.61582E-08,  9.01519E-10,  0.00000E+00,  5.06471E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","175","Speciation",  8.00000,  4.83447E-08,  9.44225E-10,  0.00000E+00,  5.30464E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","176","Speciation",  8.00000,  5.06348E-08,  9.88955E-10,  0.00000E+00,  5.55593E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","177","Speciation",  8.00000,  5.30335E-08,  1.03580E-09,  0.00000E+00,  5.81912E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","178","Speciation",  8.00000,  5.55457E-08,  1.08487E-09,  0.00000E+00,  6.09479E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","179","Speciation",  8.00000,  5.81770E-08,  1.13626E-09,  0.00000E+00,  6.38351E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","180","Speciation",  8.00000,  6.09328E-08,  1.19009E-09,  0.00000E+00,  6.68591E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","181","Speciation",  8.00000,  6.38193E-08,  1.24647E-09,  0.00000E+00,  7.00264E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","182","Speciation",  8.00000,  6.68425E-08,  1.30552E-09,  0.00000E+00,  7.33437E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","183","Speciation",  8.00000,  7.00089E-08,  1.36736E-09,  0.00000E+00,  7.68181E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","184","Speciation",  8.00000,  7.33252E-08,  1.43214E-09,  0.00000E+00,  8.04572E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","185","Speciation",  8.00000,  7.67987E-08,  1.49998E-09,  0.00000E+00,  8.42686E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","186","Speciation",  8.00000,  8.04367E-08,  1.57104E-09,  0.00000E+00,  8.82607E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","187","Speciation",  8.00000,  8.42471E-08,  1.64546E-09,  0.00000E+00,  9.24418E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","188","Speciation",  8.00000,  8.82380E-08,  1.72341E-09,  0.00000E+00,  9.68211E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","189","Speciation",  8.00000,  9.24179E-08,  1.80506E-09,  0.00000E+00,  1.01408E+08,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","190","Speciation",  8.00000,  9.67958E-08,  1.89057E-09,  0.00000E+00,  1.06212E+08,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","191","Speciation",  8.00000,  1.01381E-07,  1.98013E-09,  0.00000E+00,  1.11243E+08,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","192","Speciation",  8.00000,  1.06184E-07,  2.07394E-09,  0.00000E+00,  1.16513E+08,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","193","Speciation",  8.00000,  1.11214E-07,  2.17218E-09,  0.00000E+00,  1.22033E+08,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","194","Not Converged",  8.00000,"NA","NA","NA","NA",  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","195","Speciation",  8.00000,  1.22000E-07,  2.38287E-09,  0.00000E+00,  1.33869E+08,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","196","Speciation",  8.00000,  1.27779E-07,  2.49575E-09,  0.00000E+00,  1.40211E+08,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","197","Speciation",  8.00000,  1.33832E-07,  2.61399E-09,  0.00000E+00,  1.46853E+08,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","198","Speciation",  8.00000,  1.40172E-07,  2.73782E-09,  0.00000E+00,  1.53810E+08,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
